t_seconds,latency_ms
1.832366,101.8025
1.777032,160.1084
1.811017,131.7433
1.820619,123.2009
1.826297,120.7569
1.588998,362.7976
1.910324,45.6596
1.634558,327.5603
1.883585,81.5514
1.805150,161.2730
1.508633,459.8289
1.934169,42.0447
1.928905,48.8450
1.703665,276.5903
1.752726,230.6017
1.677458,306.9836
1.937141,51.1981
1.875377,114.9479
1.913204,82.9724
1.797052,209.7554
1.929891,78.8331
1.836285,173.9248
1.922738,88.5371
1.806100,211.2289
1.871034,150.0832
1.988340,34.7129
1.966424,58.5072
1.850520,179.5279
1.688386,343.9344
2.006808,28.5306
1.876854,162.5932
1.687465,355.7869
1.765784,281.0534
1.965137,83.6798
1.955984,96.1515
1.931594,121.8855
1.977751,76.6484
1.976214,80.4017
2.030048,28.2941
1.980256,81.4181
1.907265,159.4433
1.942761,125.5159
1.902320,178.9346
1.951796,130.8333
1.943820,140.5786
1.908281,178.0938
1.785611,302.2394
2.066709,24.1302
2.046838,45.9900
2.043253,55.6762
2.048817,55.8158
2.081256,24.2811
1.968463,139.4415
2.011276,100.9444
2.017330,96.4289
2.010210,104.5942
2.090840,26.8202
1.990325,134.6039
2.008724,119.3099
2.084399,44.7589
2.104633,25.9645
2.105537,26.0330
2.082630,52.5760
2.107905,30.6862
1.731881,411.1481
1.537407,610.4423
2.129159,24.4226
2.131571,26.0200
2.054399,105.0230
1.983328,177.5839
2.135206,27.6775
2.035339,130.1916
2.117661,53.8125
1.947054,229.1690
2.098929,78.6774
1.896912,287.2729
2.157591,29.4826
1.747718,440.7040
2.153582,35.7715
2.024931,168.5349
2.056617,139.7752
2.032321,166.6446
2.130598,73.4723
1.918104,289.9952
2.160912,48.2074
2.184185,26.7724
2.187074,25.3099
2.188423,26.0485
2.092829,127.7367
2.113759,113.5341
1.492377,736.9146
2.114805,121.0442
2.165531,72.5191
2.052136,187.8946
1.771620,470.1481
1.874141,372.2195
2.171474,76.8013
2.124929,129.5002
2.198966,60.3933
1.996177,268.7235
2.193467,74.6201
2.214472,56.0339
2.068277,203.1515
2.162884,112.0364
2.023053,254.1266
2.159423,121.0833
2.138592,143.1453
2.143030,141.1466
2.259360,28.3515
1.683949,606.8780
2.058343,236.8100
2.039448,256.6726
1.552077,746.1557
2.270506,28.8214
2.176224,126.8453
2.281737,25.9381
1.906153,404.5378
2.241768,70.7894
2.290827,26.0291
2.189354,129.9433
2.053480,272.7234
2.248275,81.3395
2.235851,95.8642
2.208099,125.1249
1.984442,354.6548
2.220566,119.8626
2.319297,25.7096
2.204071,142.4229
2.254430,98.9151
2.021118,335.0510
2.229292,131.7768
2.240031,123.3489
2.339097,26.7002
1.962119,404.8692
2.147849,222.0259
2.299328,73.1197
2.340429,38.3954
2.295153,89.2837
2.310691,74.7364
2.361070,25.3459
2.212385,176.6585
2.264901,128.8788
2.177607,217.6180
2.331715,66.6751
2.284177,117.1495
1.921799,482.4334
2.363381,43.9595
2.246361,164.7806
2.329615,84.8712
2.365798,50.2460
2.238051,178.9400
1.848528,572.1515
2.128035,296.8451
2.268087,159.5015
2.277180,155.6985
2.326204,108.9622
2.280507,157.0420
2.356170,82.3338
2.287712,154.1042
2.353346,89.5608
2.209120,240.4474
2.296121,156.6631
2.378825,74.9677
2.086375,368.3351
2.346495,113.3872
2.416991,43.8184
2.345008,124.4872
2.404233,67.2236
2.435167,40.5424
2.384438,92.2134
2.271429,207.5848
2.372448,108.8367
2.442907,41.7044
2.459882,27.9076
2.316857,173.3177
2.307676,184.7842
2.414487,81.5065
2.416044,82.9575
2.475710,28.0498
2.298238,210.2918
2.389044,122.2553
2.411142,101.7735
2.385428,130.2623
2.393781,126.8111
2.471457,50.4863
2.061674,464.9468
2.460810,68.3749
2.503760,27.4417
2.303069,236.3150
2.512916,27.5058
2.274921,268.7857
2.401327,144.6338
2.492460,57.5323
2.227294,326.8614
2.112221,442.8912
2.454711,107.0136
2.452785,110.5311
2.515691,51.3116
2.210958,358.9026
2.424881,146.9689
2.481285,95.8902
2.490175,89.1969
1.899708,681.5929
2.476651,107.7544
2.554156,35.1204
2.437549,154.7694
2.369876,225.2497
2.511299,88.4330
2.561725,40.7414
2.577176,26.2189
2.386416,221.3523
2.398391,211.3988
2.427589,184.8091
2.584406,30.6172
2.589277,29.6031
2.555113,64.7235
2.549993,72.2181
2.312558,314.6655
2.599733,29.5814
2.479015,155.8029
2.495994,140.3583
2.520592,116.7759
2.449568,191.8015
2.540422,103.6364
2.618880,26.0974
2.619837,28.0589
2.333225,320.5502
2.627224,28.0640
2.602467,55.2103
2.634818,24.9588
2.543707,122.9114
2.508530,160.8708
2.615024,55.6139
2.521944,150.0907
