t_seconds,latency_ms
2.470037,132.7123
2.316161,288.0962
2.534158,71.0743
2.513043,96.9361
2.482325,129.5919
2.409012,207.0981
2.562790,55.2804
2.593939,26.1927
2.601831,21.1661
2.412820,217.3340
2.260992,370.5933
2.539966,92.9852
2.315189,324.7536
2.580879,61.1864
2.544919,99.1160
2.622998,23.9889
2.557702,91.6969
2.630155,21.2876
2.337196,318.2183
2.358361,301.3050
2.611917,56.0920
2.373621,297.2352
2.245080,427.0000
2.380404,297.3980
2.581884,101.2242
2.618071,65.9817
2.501708,183.2933
2.446370,241.9220
2.552580,137.4872
2.668010,31.8539
2.563729,138.7697
2.583908,123.9228
2.659666,49.1849
2.538554,171.3189
2.688292,25.1439
2.642066,73.5617
2.604258,116.6681
2.510233,215.4521
2.670857,57.7391
2.401571,330.7148
2.509290,226.8299
2.346084,392.7743
2.713437,26.5833
2.522776,219.1531
2.366016,379.7496
2.541742,207.3691
2.709874,47.8060
2.644035,115.3897
2.732287,30.1596
2.620132,148.8206
2.277606,493.6321
2.651443,121.7891
2.649400,125.3744
